date_time,T_room,P_room,CO2_raw,corr_int,corr_slope,temp,CO2_scaled,flow_rate,dTdt,fraction,ug_frac,ug_sum
10:49:06 AM,30.152,99.955,10.3,0,1,150.863143,10.3,35.1,4.810161,1,0.022562,0.022562
10:49:07 AM,30.152,99.955,10.3,0,1,150.919551,10.3,35.1,5.010018,1,0.0254,0.0254
10:49:08 AM,30.152,99.955,10.3,0,1,150.988732,10.3,35.1,5.133584,1,0.028265,0.028265
10:49:09 AM,30.152,99.955,10.5,0,1,151.070233,10.5,35.1,5.284368,1,0.031147,0.031147
10:49:10 AM,30.152,99.954,10.6,0,1,151.170943,10.6,35.1,5.368253,1,0.03408,0.03408
10:49:11 AM,30.152,99.954,10.8,0,1,151.179004,10.8,35.1,5.504086,1,0.037067,0.037067
10:49:12 AM,30.152,99.955,10.7,0,1,151.338471,10.7,35.1,5.55246,1,0.040014,0.040014
10:49:13 AM,30.152,99.955,10.4,0,1,151.423784,10.4,35.1,5.684162,1,0.042926,0.042926
10:49:14 AM,30.152,99.955,10.9,0,1,151.449383,10.9,35.1,5.802628,1,0.045891,0.045891
10:49:15 AM,30.152,99.955,11.4,0,1,151.474273,11.4,35.1,5.788994,1,0.049005,0.049005
10:49:16 AM,30.152,99.955,10.6,0,1,151.622149,10.6,35.1,5.733401,1,0.052037,0.052037
10:49:17 AM,30.152,99.956,10.5,0,1,151.69135,10.5,35.1,5.80194,1,0.054921,0.054921
10:49:18 AM,30.152,99.956,10.4,0,1,151.714821,10.4,35.1,5.798835,1,0.057854,0.057854
10:49:19 AM,30.152,99.956,10.7,0,1,151.842331,10.7,35.1,5.781136,1,0.060812,0.060812
10:49:20 AM,30.152,99.957,10.9,0,1,151.894955,10.9,35.1,5.625194,1,0.063837,0.063837
10:49:21 AM,30.152,99.957,10.4,0,1,152.003513,10.4,35.1,5.487973,1,0.066781,0.066781
