date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std
3:07:45 PM,-1,0,0,0,0,0
3:07:52 PM,0,0,0,0,0,0
3:39:00 PM,1,57.093215,,,1.008490999,0.01
3:52:35 PM,2,61.236111,-28.79,0.1,0.874,0.0029
4:09:29 PM,3,42.734197,-28.15,0.1,0.6214,0.0033
5:12:21 PM,4,67.994568,-26.82,0.1,0.2326,0.0027
