date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std
3:24:20 PM,-1,0,0,0,0,0
3:43:23 PM,0,0,0,0,0,0
4:15:38 PM,1,124.92,-31.51,0.1,0.9378,0.0024
4:24:24 PM,2,95.76,-29.59,0.1,0.8887,0.0029
4:37:32 PM,3,74.64,-29.28,0.1,0.7885,0.0026
5:23:11 PM,4,78.84,-27.42,0.1,0.5182,0.0022
