date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
2:56:30 PM,-1,100.104103,0,0,0,0,0,0
3:06:00 PM,0,146.359554,0,0,0,0,0,0
3:58:00 PM,1,407.316407,52.56,52.56,,,0.520328196,0.004128737
4:01:00 PM,2,422.344961,55.8,108.36,,,0.075822096,0.002693397
4:24:00 PM,3,537.370492,65.88,174.24,,,0.014723836,0.002414419
4:31:00 PM,4,572.333978,81.36,255.6,,,0.00587624,0.00210924
4:39:00 PM,5,612.330362,90.96,346.56,,,0.002188092,0.00200776
5:36:00 PM,6,898.349408,130.44,477,,,0.006589046,0.00161508
