date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std
10:11:37 AM,-1,0,0,0,0,0
10:11:38 AM,0,0,0,0,0,0
10:55:44 AM,1,50.306993,-28,0.1,0.5135,0.0026
11:13:36 AM,2,264.755152,-25.3,0.1,0.4824,0.0013
11:20:57 AM,3,160.17331,-24.99,0.1,0.4654,0.0015
11:37:00 AM,4,506.310966,-24.62,0.1,0.4707,0.0014
11:42:58 AM,5,276.409796,-24.09,0.1,0.4813,0.0014
12:21:48 PM,6,887.226049,-22.1,0.1,0.4824,0.0013
