date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
3:19:35 PM,-1,150.584505,0,0,0,0,0,0
3:19:35 PM,0,150.584505,0,0,0,0,0,0
3:54:23 PM,1,315.136829,64.92,64.92,-27.54469051,0.15871692,0.57,0.01
4:09:24 PM,2,390.266683,149.16,214.08,-25.42266537,0.150189416,0.291841942,0.005751798
4:24:18 PM,3,465.121001,107.28,321.36,-24.55783179,0.150513066,0.296542295,0.005540218
4:41:15 PM,4,550.327966,76.08,397.44,-26.018944,0.151578175,0.265276123,0.005865203
5:50:44 PM,5,900.052968,105.96,503.4,-20.63097019,0.164620391,0.152927299,0.004464159
