date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
12:00:00 PM,-1,43.975337,0,0,0,0,0,0
12:00:01 PM,0,44.095875,0,0,0,0,0,0
1:33:26 PM,1,485,165.738,165.738,-25.96,0.1,0.4754,0.0027
2:37:47 PM,2,807,92.477,258.215,-25.2,0.1,0.4944,0.0026
