date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
12:00:00 PM,-1,0,0,0,0,0,0,0
12:00:01 PM,0,0,0,0,0,0,0,0
1:04:58 PM,1,320,245.004,245.004,-27.84,0.1,1.0062,0.0032
1:23:53 PM,2,414,449.174,694.178,-25.56,0.1,0.901,0.0026
1:36:11 PM,3,475,246.205,940.383,-24.32,0.1,0.8349,0.0027
2:35:02 PM,4,771,297.848,1238.231,-27.14,0.1,0.7642,0.0029
