date_time,fraction,ug_frac,d13C,d13C_std,Fm,Fm_std
9:18:35 AM,-1,0,0,0,0,0
9:26:58 AM,0,0,0,0,0,0
10:06:05 AM,1,52,-33.63,0.1,0.9106,0.0038
10:15:22 AM,2,53,-33.23,0.1,1.0360,0.0043
10:21:42 AM,3,56,-33.64,0.1,1.0425,0.0041
10:26:35 AM,4,59,-33.59,0.1,1.0494,0.0046
10:30:57 AM,5,116,-30.63,0.1,1.0649,0.0027
11:07:54 AM,6,115,-28.93,0.1,1.0541,0.0027
