date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
12:57:31 AM,-1,100.045978,0,0,0,0,0,0
1:02:50 AM,0,123.200185,0,0,0,0,0,0
1:40:05 AM,1,300.677811,142.5,142.5,-23.61407666,0.150160111,0.889903099,0.008390745
1:50:15 AM,2,350.426751,152.2,294.7,-23.39834378,0.148131486,0.776961662,0.007318387
2:02:42 AM,3,410.713832,147.1,441.8,-23.28865326,0.148217308,0.518422375,0.006199375
2:19:53 AM,4,495.173925,129.8,571.6,-23.59912337,0.148576237,0.418084517,0.005241015
2:49:14 AM,5,640.202155,103.6,675.2,-23.59912337,0.150732441,0.452338112,0.004578499
3:41:15 AM,6,900.66434,56.5,731.7,-23.59561304,0.176292606,0.424423225,0.004818579
