date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
10:06:39 AM,-1,150.014502,0,0,0,0,0,0
10:06:40 AM,0,150.126769,0,0,0,0,0,0
10:53:33 AM,1,375.068005,46.08,46.08,-26.40899533,0.188776898,0.927944236,0.011262527
11:23:26 AM,2,525.297051,44.64,90.72,-23.62398011,0.173643316,0.526328096,0.007805768
11:40:19 AM,3,610.278955,42.72,133.44,-23.05167792,0.16426952,0.069819737,0.002881114
12:37:54 PM,4,900.32242,28.08,161.52,-22.65273967,0.272088941,0.103690314,0.003555601
