date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
1:53:34 PM,-1,100.845016,0,0,0,0,0,0
2:02:00 PM,0,150,0,0,0,0,0,0
2:57:00 PM,1,425,56.4,56.4,,,0.340186676,0.003302571
3:14:00 PM,2,510,56.88,113.28,,,0.038224851,0.002680286
3:21:00 PM,3,546,65.52,178.8,,,0.007446158,0.002411808
3:29:00 PM,4,582,80.16,258.96,,,0.003184805,0.002109011
3:36:00 PM,5,618,109.32,368.28,,,0.002681526,0.001307811
4:34:00 PM,6,900,63.96,432.24,,,0.013047375,0.003090499
