date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
1:19:56 PM,-1,100.061212,0,0,0,0,0,0
1:35:51 PM,0,125.109148,0,0,0,0,0,0
2:11:04 PM,1,292.21169,120.6,120.6,-22.81607116,0.150573771,1.0520995,0.008022724
2:19:15 PM,2,333.503962,143.9,264.5,-22.88658907,0.147992373,1.022603808,0.009000859
2:26:41 PM,3,369.780879,139.1,403.6,-23.0112848,0.14797226,0.914421813,0.008000798
2:37:02 PM,4,420.356743,118.8,522.4,-23.62308496,0.148131318,0.64216699,0.007002433
2:49:09 PM,5,480.311429,86.2,608.6,-24.61742372,0.148556747,0.498824176,0.005009109
4:13:08 PM,6,900.073309,136.9,745.5,-24.44369267,0.160843644,0.452586918,0.005177911
