date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
2:41:25 PM,-1,125.091703,0,0,0,0,0,0
2:43:25 PM,0,141.573336,0,0,0,0,0,0
3:05:48 PM,1,240.090001,124.751981,124.751981,-32.13,0.1,0.8932,0.0019
3:21:05 PM,2,289.998359,327.875533,452.627514,-30.42,0.1,0.9974,0.0020
3:34:55 PM,3,345.081716,420.043386,872.6709,-28.79,0.1,0.9951,0.0019
3:46:04 PM,4,400.032967,285.513787,1158.184687,-27.62,0.1,0.9649,0.0020
4:00:14 PM,5,470.227397,186.793552,1344.97824,-26.23,0.1,0.9318,0.0021
4:46:18 PM,6,700.147627,-9698.596804,-8353.618564,-27.05,0.1,0.8322,0.0019
