date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
9:58:55 AM,-1,23.691919,0,0,0,0,0,0
9:58:56 AM,0,23.715864,0,0,0,0,0,0
11:08:59 AM,1,341.6918774,325.9,325.9,,,0.970096937,0.054193561
11:19:00 AM,2,391.1193199,329.5,655.4,,,1.053078812,0.058750903
11:31:00 AM,3,450.808016,360.9,1016.3,,,0.901318905,0.05053936
11:40:59 AM,4,501.3031443,330.5,1346.8,,,0.926668485,0.052103955
11:52:59 AM,5,561.6725662,348.9,1695.7,,,0.774206722,0.043813529
12:43:59 PM,6,818.6745355,132.2,1827.9,,,0.472333289,0.046074832
